Gallery ID	Gallery Name	Gallery Desc
EVC0001	Die Reise beginnt	Die 5. Flotte tritt ihre Reise in die Neue Welt an.<LSNR {Ein vielversprechender Jäger} {Eine vielversprechende Jägerin}> ist seit Kurzem dabei.
EVC0002	Schicksalsbegegnungen	Einem Treffen von Seelenverwandten folgt eine äußerstungünstige Unterbrechung. Und der Grund dafür...?
EVC0003	Die Neue Welt	<LSNR {Der Jäger} {Die Jägerin}> und die Wildexpertin fliegen dem unbekanntenRiesen davon und erleben die strahlende Neue Welt von oben.
EVC0051	Die Schurken des Waldes	Gestrandet im Uralten Wald machen sich die beiden zurBasis auf, allerdings steht ihnen ein Rudel Jagras im Weg.
EVC0004	Total überrascht	Die mit dem Lesen von Spuren beschäftigte Wildexpertin wirdvon dem Monster angesprungen, das sie hinterlassen hat.
EVC0005	Radau am Kontrollpunkt	Kurz bevor sie die Basis betreten, gerät <LSNR {der Jäger} {die Jägerin}>in einen heftigen Kampf zweier Monster.
EVC0006	Astera	Nach dem Ende ihres spontanen Abenteuers sind <LSNR {der Jäger} {die Jägerin}>und die Koordinatorin in Astera, der Basis der Kommission, in Sicherheit.
EVC0052	Ein treuer Jagdbegleiter	Nachdem sie während des Vorfalls mit dem Riesenmonstergetrennt wurden, treffen sich <LSNR {der Jäger} {die Jägerin}> und <LSNR {sein} {ihr}> Palico wieder.
EVC0055	Vorsicht, zerbrechlich!	Im zerstörten Lager treffen <LSNR {der Jäger} {die Jägerin}> und derAnführer des Feldteams auf einen Kulu-Ya-Ku.
EVC0007	Den Spähkäfern auf der Spur	Von den Spähkäfern geleitet, erblickt die Gruppe einenPukei-Pukei, den ein Haufen glimmender Schlacke angelockt hat.
EVC0056	Ein Vorstoß in die Ödnis	<LSNR {Der Jäger} {Die Jägerin}> macht sich bereit, die Gelehrten bei ihrer Untersuchungeiner möglichen Spur des Zorah Magdaros zu eskortieren.
EVC0008	Berufsrisiko	Während die Gruppe Proben sammelt, greift sie eindurch einen Wildturm brechender Barroth an.
EVC0009	Der weise Wyverianer	Nachdem <LSNR {er} {sie}> die Gelehrten eskortiert hat, trifft <LSNR {der Jäger} {die Jägerin}>einen mysteriösen wyverianischen Jäger der 1. Flotte.
EVC0010	Der ruhelose Sumpf	<LSNR {Der Jäger} {Die Jägerin}> findet den nach der Begegnungmit einem Monster verängstigten Gelehrten.
EVC0011	Der anmutige Tobi-Kadachi	Nachdem <LSNR {der Jäger} {die Jägerin}> Federn sieht und hinaufblickt,entdeckt er eine neue Bestie hoch oben in den Bäumen.
EVC0012	Anjanath, der Berserker	<LSNR {Der Jäger} {Die Jägerin}> versucht, den sein Territoriumverteidigenden Anjanath in eine Falle zu locken.
EVC0013	Der Fangeinsatz	Die Kommission will den Zorah Magdaros fangen. Wird sieAufschluss über die geheimnisvolle Ältestenwanderung erhalten?
EVC0014	Das Endergebnis	Ein neues Monster behindert den Einsatz.<LSNR {Der Jäger} {Die Jägerin}> nutzt <LSNR {seine} {ihre}> ganze Kraft, um es zu verjagen.
EVC0015	Die Große Schlucht	Auf der Jagd nach dem Zorah Magdaros bietet sich <LSNR {dem Jäger} {der Jägerin}> und derWildexpertin nach dem Überqueren der Schlucht ein toller Anblick.
EVC0060	Eine blendende Verteidigung	Ein Rudel Shamos umzingelt einen Tzitzi-Ya-Ku,als das Gebiet von einem Lichtstrahl durchflutet wird.
EVC0061	Der schwebende Wyvern	Auf der Jagd nach einer schwebenden Kreatur verliert<LSNR {der Jäger} {die Jägerin}> es aus den Augen und tritt ihm später gegenüber.
EVC0016	Ins Tal der Verwesung	Mit neuen Ballons ausgestattet erhebt sich die Forschungsbasisin die Lüfte. Ihr Ziel: das Tal der Verwesung.
EVC0062	Ein neuer Freund	Nach der Erkundung des Tals der Verwesung treffen<LSNR {der Jäger} {die Jägerin}> und die Wildexpertin die Fährtenleserin.
EVC0017	Das Knochenungeheuer	Die Untersuchung <LSNR {des Jägers} {der Jägerin}> wird unterbrochenda eine Monstrosität aus scharfen Knochen erscheint.
EVC0018	Der elegante Flugjäger	Bevor alle mit dem Luftschiff ins Tal fliegen und nach dem ZorahMagdaros suchen können, durchkreuzt ein Legiana den Plan.
EVC0019	Probleme im Tal	Auf der Suche nach dem Zorah Magdaros werden die beiden voneinem Odogaron angegriffen, der die Wildexpertin im Visier hat.
EVC0020	Antworten aus dem Tal	Die beiden treffen die Fährtenleserin wieder, die ihnen hilft,das Geheimnis der Ältestenwanderung aufzudecken.
EVC0021	Die Krone des Uralten Baums	Die beiden besteigen auf der Suche nach dem Ersten Wyverianereinen Uralten Baum und treffen auf einen Rathalos.
EVC0022	Die Wut unter dem Sand	Ein Streit zwischen Noios und einem Barroth endet tödlich,als ein zweihörniger Teufel sich aus dem Sand erhebt.
EVC0023	Der Beginn des Lockeinsatzes	Der Einsatz, um den Zorah Magdaros aufs Meer zu locken,wird bald beginnen.
EVC0024	Der Zyklus geht weiter	Der Einsatz der Kommission war ein Erfolg. Triumphierendbeobachten sie, wie der Zorah Magdaros sich aufs Meer begibt.
EVC0025	Königin eines fremden Landes	Im Korallenhochland suchen die beiden nach derUrsache für die seltsamen Spuren. Was erwartet sie?
EVC0034	Der Besuch des Admirals	In der Neuen Welt wurde eine Unterart entdeckt.Während die Untersuchung beginnt, erscheint derAdmiral wieder.
EVC0026	In die Heimat der Ältesten	Angeführt vom Admiral betreten <LSNR {der Jäger} {die Jägerin}> und dieWildexpertin ein Gebiet voller riesiger, glitzernder Kristalle.
EVC0063	Der Kristallfresser	In einer glitzernden Höhle verschlingt ein DodogomaKristalle und greift danach <LSNR {den Jäger} {die Jägerin}> an.
EVC0027	Der schwarze Pfeil	<LSNR {Der Jäger} {Die Jägerin}> tritt endlich dem Verschlinger der Drachen-ältesten gegenüber, dem furchteinflößenden Nergigante.
EVC0028	Endlose Mysterien	Obwohl <LSNR {der Jäger} {die Jägerin}> den Nergigante besiegt,sind einige Geheimnisse immer noch nicht aufgedeckt.
EVC0064	Der Magma-Wyvern	Tief in einer Höhle voller Lava knistert die Luft, als derBoden unter den Füßen <LSNR {des Jäger} {der Jägerin}> zu Beben beginnt.
EVC0065	Donnergrollen	Ein gigantisches steinartiges Rad rast durch die Heimatder Ältesten und versprengt glimmende Felsen.
EVC0029	Höllischer Feind Vaal Hazak	Ein Girros-Rudel bedroht <LSNR {den Jäger} {die Jägerin}>, ohne zu bemerken,dass sich in den Kadavern hinter ihnen etwas bewegt.
EVC0030	Kushala Daora, Stahl-Drache	<LSNR {Der} {Die}> von der kristallenen Festung verzückte <LSNR {Jäger} {Jägerin}> wirdvon einem plötzlichen Wirbel aus <LSNR {seinen} {ihren}> Träumen gerissen.
EVC0031	Teostra der Fürchterliche	<LSNR {Der Jäger} {Die Jägerin}> geht durch einen Tunnel vollerLava und muss einer Flammenwelle trotzen.
EVC0032	Der Zusammenfluss des Lebens	Die Gruppe erreicht den Nexus des Ewigen Stroms,wo ein unbekanntes Wesen in seinem Kokon pulsiert...
EVC0033	Mission abgeschlossen	Nachdem die Bedrohung durch das namenlose Monsterbeseitigt ist, zieht sich <LSNR {der Jäger} {die Jägerin}> zurück, während alles einstürzt.
EVC0035	Des Rätsels Lösung	Nach vielen Jahren wurde das Geheimnis der Ältesten-wanderung gelüftet. Während der Feier meldet sich die Gilde...
EVC0036	Zu neuen Ländern	Ein Geheimnis wurde gelüftet, doch die Jäger reisenweiter bis in die entferntesten Winkel der Neuen Welt.
EVC0066	Der Vulkankoloss	Ein Drachenältester marschiert wie ein lebender Vulkanzu seinem Ziel und lässt bei jedem Schritt die Erde beben.
EVC0067	Kaiser der Drachenältesten	Eine neue Kreatur wird geboren. Angefüllt mit den Energienaus dem Ewigen Strom stößt sie einen Schrei aus.
EVC0068	Das Ende des Landes	Das Tal der Verwesung: Eine Landschaft voller Kadaver undgiftiger Dämpfe, die jedem schaden, der sich dorthin wagt.
EVC0070	Der unersättliche Dämonjho	Der Uralte Wald ist für den Großteil derKommisssion tabu. Auf die Wildexpertinjedoch wartet ein schrecklicher Albtraum.
EVC0071	Die loyale Kaiserin	Ein Nergigante erscheint bei einem sich erholenden Teostra.Beide Drachenälteste scheinen für den entscheidendenKampf bereit, als die Kaiserin ihre Anwesenheit verkündet.
EVC0072	Pyrit oder Gold?	Licht erhellt spärlich eine Höhle und offenbarteine knurrende Kreatur mit dem Ausseheneines riesigen Berges Gold.
EVC0074	Ein Besucher aus Eorzea	Bei der Verfolgung eines schnellen Kaktorsfindet <LSNR {der Jäger} {die Jägerin}> einen mysteriösen blauen Kristall,einen Kulu-Ya-Ku und ein seltsames felliges Wesen.
EVC0075	Die Bestie steigt herab	Ein gigantischer Meteorit fällt zu Boden und verwüstetdie komplette Umgebung. <LSNR {Der Jäger} {Die Jägerin}> eilt zur Stelleund wird von einer unbekannten Bestie begrüßt.
EVC0078	Geralt von Riva	Der Hexer Geralt kommt in der NeuenWelt an. Die Kommission bittet ihn, einengeheimnisvollen Vorfall zu untersuchen.
EVC0079	Kreatur einer anderen Welt	Die seltsamen Ereignisse im Uralten Wald wurdenvon einem Waldschrat ausgelöst, einer Kreatur,die alles in ihrem Einflussbereich kontrolliert.
EVC0080	Es kam aus einem Portal	Ein Uralter Waldschrat kommt im UraltenWald an und übernimmt umgehend dieKontrolle über die dort lebenden Jagras.
EVC0081	Ende: Ein Geheimnis bleibt	Geralt besiegt den Waldschrat und hinterlässt <LSNR {dem Jäger} {der Jägerin}>den Jäger-Runenstein, bevor er Astera verlässt.Aber ein kleines Geheimnis bleibt offen...
EVC0082	Ende: Geschenk vom Häuptling	Geralt hebt den Fluch des Häuptlings aufund die Gajalaka bedanken sich dafür miteinem kleinen Auftritt.
EVC0083	Ende: Ein kleiner Freund	Geralt besiegt den Waldschrat und bereitet seineAbreise aus Astera vor, als ein Grimalkyne auf einemPukei-Pukei mit einem Geschenk angeritten kommt.
EVC0084	Ende: Quest abgeschlossen	Nachdem er den Gajalaka-Häuptling und denPukei-Pukei gerettet hat, kehrt Geralt durchein Portal des Waldschrats in seine Welt zurück.
EVC1000	Vorzeichen	<LSNR {Der Jäger} {Die Jägerin}> begibt sich mit der Wildexpertinin den Uralten Wald, um Berichten über eineLegiana-Sichtung nachzugehen.
EVC1001	Abreisen und Entdeckungen	Mitglieder der Kommission jagen den Legiana imLuftschiff hinterher. Was wird sie wohl jenseitsdes Meeres erwarten?
EVC1040	Eine weiße Welt	Als <LSNR {der Jäger} {die Jägerin}> mit der Wildexpertin das neuentdeckte Land betritt, erwartet <LSNR {ihn} {sie}> eine eisige Weltvoll blendenden Schnees.
EVC1002	Schatten in den Schneewehen	Die Suche nach einem Landeplatz für das Luftschiffgeht weiter, aber auf einer vielversprechendenLichtung finden sich seltsame Spuren im Schnee.
EVC1003	Seliana	Das Luftschiff landet auf dem frisch gesichertenPlatz und der Kommandant überwacht denAufbau einer neuen Basis.
EVC1004	Ein Land des ewigen Eises	Ein unberührtes Land, seit Jahrhunderten vomEis bedeckt. Was erwartet <LSNR {den Jäger} {die Jägerin}> wohl hier?
EVC1005	Banbaro-Randale	Bei der Sicherung einer Versorgungsroute durch dieRaureif-Weite wird <LSNR {der Jäger} {die Jägerin}> von umgestürztenBäumen aufgehalten.
EVC1006	Seliana macht Dampf	Die Ankunft des Konvois beflügelt die Bauarbeitenin Seliana und der Anführer des Feldteams informiert<LSNR {den Jäger} {die Jägerin}>.
EVC1007	Die schleichende Viper	<LSNR {Der Jäger} {Die Jägerin}> erkundet mit der Fährtenleserindie Hinterlande, aber ein Viper-Tobi-Kadachilauert in den Schatten.
EVC1008	Ein Schiff, gefangen in der Zeit	In der Weite wird ein altes Schiffswrack entdeckt.Wann und wie ist es hierher gekommen?
EVC1009	Schlummerbelagerung	Schlummer übermannt <LSNR {den Jäger} {die Jägerin}> in derWildturm-Ödnis, wo <LSNR {er} {sie}> eine Unterartuntersuchen soll...
EVC1010	Jede Menge Ärger	Shamos umkreisen den Korallen-Pukei-Pukei,der in ihr Gebiet eingedrungen ist, aber derschert sich nicht um sie.
EVC1011	Die Blizzard-Bestie	<LSNR {Der Jäger} {Die Jägerin}> sucht in der Raureif-Weite nach derFährtenleserin und der Wildexpertin.Dabei stößt <LSNR {er} {sie}> auf gefrorene Flugdrachen.
EVC1012	Der Eisgeborene Wyvern	Als die Wildexpertin und die Fährtenleserin vonihren Erkenntnissen berichten, erklingt Gesangund ein Blizzard zieht auf.
EVC1013	Der schnelle Schatten	Bei der Untersuchung des Uralten Walds lauert<LSNR {dem Jäger} {der Jägerin}> ein Nargacuga auf.Und dann kommt noch ein Rathalos dazu...
EVC1014	Die kriegserprobte Klinge	Eine Rathian verschwindet, um sich die Wundenzu lecken. Aber es schleicht sich etwas nochGefährlicheres an <LSNR {den Jäger} {die Jägerin}> an.
EVC1015	Widerstand der Lebenden	<LSNR {Der Jäger} {Die Jägerin}> kehrt mit der Wildexpertin nachAstera zurück, wo <LSNR {ihn} {sie}> ein gefrorener Anjanatherwartet.
EVC1016	Donner in der Schlucht	Ein Radobaan trifft auf einen Tigrex,und schon bald ist klar, wer hier zurdominanten Art gehört.
EVC1017	Seimige Bedrohung	Versengte Stellen in der Heimat der Ältestenführen <LSNR {den Jäger} {die Jägerin}> zu einem Brachydios,der mit Schleim bedeckt ist.
EVC1018	Mondstein	Die Wildexpertin untersucht das Fragmentihres Großvaters, das angeblich vom Mondstammen soll. Welche Geheimnisse birgt es?
EVC1019	Absoluter Nullpunkt	Der Velkhana erscheint, mit Eis gepanzert.Sein Atem lässt die Erde gefrieren und seineFlügelschläge erzeugen einen Blizzard.
EVC1020	Eisige Umarmung	<LSNR {Der Jäger} {Die Jägerin}> versetzt dem Velkhana einen tödlichenStoß, aber dessen Körper wird von einem geheimnis-vollen Nebel aus tödlicher Kälte umgeben.
EVC1021	Eine kalte Spur	<LSNR {Der Jäger} {Die Jägerin}> folgt dem Velkhana mit der Wildexpertinin die Raureif-Weite. Aber die Fährtenleserin bleibtweiterhin vermisst...
EVC1022	Ein vererbter Wunsch	<LSNR {Der Jäger} {Die Jägerin}> rettet gemeinsam mit derWildexpertin die Fährtenleserin, die sich vonder Wildexpertin an ihr junges Ich erinnert fühlt.
EVC1025	Ein ätzendes Rätsel	Ein Rudel Girros hat einen Säure-Glavenusumzingelt, aber der hält sie sich mit seinemklingenhaften Schwanz vom Leib.
EVC1026	Kampf der Räuber	Ein Odogaron im Korallenhochland hat es auf<LSNR {den Jäger} {die Jägerin}> abgesehen... aber dann ertönthinter ihnen ein Heulen.
EVC1027	Die Verteidigung von Seliana	Der Velkhana muss aufgehalten werden,bis der Drachenreißer bereit zum Feuern ist!Selianas Schicksal liegt in den Händen <LSNR {des Jägers} {der Jägerin}>!
EVC1028	In die Offensive	Als Seliana den Sieg über den Velkhana feiert,spricht der Anführer des Feldteams aus,was als Nächstes getan werden muss.
EVC1029	Am Ende der Schlacht	<LSNR {Der Jäger} {Die Jägerin}> folgt dem Velkhana in die Raureif-Weite.Was hält das Schicksal wohl für <LSNR {ihn} {sie}> bereit?
EVC1030	Unnatürliche Katastrophen	Der Velkhana ist besiegt und das Geheimnis desFragments ist gelüftet. Aber der WyverianischeJäger bringt schlechte Neuigkeiten.
EVC1031	Spuren bevorstehenden Unheils	<LSNR {Der Jäger} {Die Jägerin}> stößt in der Heimat der Ältesten aufNergigante-Stacheln – und findet sich wenig späterin einem Hagel aus glühenden Explosionen wieder.
EVC1032	Velum-Vaal-Hazak	Als der Vaal Hazak den Uralten Wald erreicht,legt sich ein unheimliches Miasma über das Gebiet.
EVC1033	Ein Licht aus dem Abgrund	<LSNR {Der Jäger} {Die Jägerin}> erblickt kurz Flügel, die inallen Regenbogenfarben aufleuchten,dann folgt eine Flutwelle...
EVC1034	Vorwärts, ohne Zögern	Ein Team sucht mit dem Luftschiff nach demAlten Allwyrm. Die Fährtenleserin jedoch,trotz Schwur ihn zu finden, ist nicht dabei.
EVC1035	Der Alte Allwyrm	Nach dem Sieg <LSNR {des Jägers} {der Jägerin}> über den Nergigantekündigt ein unheimliches Lied die Ankunftdes Alten Allwyrms an.
EVC1036	Die Macht der Natur	<LSNR {Der Jäger} {Die Jägerin}> steht über dem besiegtenShara Ishvalda, als die anderen kommen.Aber die Natur hält noch eine Überraschung bereit...
EVC1037	Der Mond und der Saphirstern	Die Kommission blickt zurück auf eine Suche,die mit dem Exodus der Legiana begann und mitder Demaskierung des Alten Allwyrms endete.
EVC1038	Eine Suche ohne Ende	Nach den Feierlichkeiten bis spät in dieNacht wendet sich die Kommission nunder nächsten Untersuchung zu.
EVC1041	Weiter in die Leitlande	Bei der Suche nach dem Nergigante stößt dasDuo in der Neuen Welt auf eine Wiege des Lebens,wo disparate Spezies aufeinandertreffen.
EVC1042	Im Kreuzfeuer	Bei der Erkundung der Leitlande trifft<LSNR {den Jäger} {die Jägerin}> auf Donnerkäfer, einenRathalos und etwas noch Gefährlicheres.
EVC1043	Das Gebiet gehört mir!	Ein Yian Garuga will sein Gebiet gegeneinen hungrigen Dämonjho verteidigen –und <LSNR {der Jäger} {die Jägerin}> steht mittendrin.
EVC1044	Eine lauernde Kraft	Der Admiral untersucht die Leitlande, von denSpähkäfern geführt, und erreicht eine riesige Wand.Aber hinter ihm taucht eine neue Gefahr auf!
EVC1045	Der wilde Rajang	Im Vulkanbiom der Leitlande entdeckt <LSNR {der Jäger} {die Jägerin}>einen gereizten Kirin. Aber der Kirin macht sichnicht wegen <LSNR {dem Jäger} {der Jägerin}> Sorgen...
EVC1046	Eine neue Tundra	<LSNR {Der Jäger} {Die Jägerin}> entdeckt ein neues Biomin den Leitlanden und findet frischeneue Spuren im Schnee...
EVC1047	Die Ursache des Ärgers	Vom Admiral und dem Wyverianischen Jäger angeführt,findet das Team heraus, dass das Monster hinter denjüngsten Ereignissen niemand anderes war als...
EVC1048	Das perfekte Wesen	Das in der Schlucht gestellte Bösesieht auf die kleinen Leben vor sichmit einem durchdringenden Blick herab.
EVC1052	Der Safi'jiiva kehrt zurück	Die Bedrohung aus der Schlucht kehrtzurück – und das Schicksal dieser Landeliegt in den Händen des Saphirsterns.
EVC1050	Der Avatar der Erde	Der Alte Allwyrm schreit aus dem Herzendes Ewigen Stroms. Dank seines Stein-panzers lässt er die Erde erzittern.
EVC1056	Im Angesicht der Zerstörung	Der Alatreon ist ein abscheuliches Monster, das sowohlKälte als auch Hitze kontrollieren kann.<LSNR {Der Jäger} {Die Jägerin}> stellt sich diesem Symbol der Zerstörung!
EVC1053	Dem Schicksal gegenüber	Das Königreich Schrade wurde einst in einer einzigen Nachtzerstört. Der Fatalis kehrt zurück und das Schicksal der Weltruht auf den Schultern einer Gruppe heroischer Kämpfer.
EVC1054	Dies ist nicht das Ende	Von den Hoffnungen und Ambitionen all jener getrieben,die <LSNR {ihn}{sie}> während <LSNR {seiner}{ihrer}> Reise begleitet haben,schreitet <LSNR {der Jäger}{die Jägerin}> noch einmal zur Tat.
