武器ID	武器名称	模型地址
1	橡子猫铲	otomo/wp/ot_we001
28	骨制猫大锤	otomo/wp/ot_we028
29	铁制猫长剑	otomo/wp/ot_we029
2	贼龙猫铳槌	otomo/wp/ot_we002
3	搔鸟猫乌德琴	otomo/wp/ot_we003
4	毒妖鸟猫弓	otomo/wp/ot_we004
5	土砂龙猫链锤	otomo/wp/ot_we005
6	泥鱼龙猫剑	otomo/wp/ot_we006
7	飞雷龙猫叉	otomo/wp/ot_we007
8	蛮颚龙猫骨槌	otomo/wp/ot_we008
11	浮空龙猫肉球	otomo/wp/ot_we011
9	雌火龙猫细剑	otomo/wp/ot_we009
13	骨锤龙猫球	otomo/wp/ot_we013
30	铃兰猫杖	otomo/wp/ot_we030
12	风漂龙猫剑	otomo/wp/ot_we012
14	惨爪龙猫锁镰	otomo/wp/ot_we014
16	火龙猫剑	otomo/wp/ot_we016
17	角龙猫大锤	otomo/wp/ot_we017
18	神猫剑雷鸣闪	otomo/wp/ot_we018
27	死神猫镰刀	otomo/wp/ot_we027
32	橡子猫铲阿尔法	otomo/wp/ot_we001
33	骨制猫大锤阿尔法	otomo/wp/ot_we028
34	铁制猫长剑阿尔法	otomo/wp/ot_we029
35	贼龙猫铳槌阿尔法	otomo/wp/ot_we002
36	搔鸟猫乌德琴阿尔法	otomo/wp/ot_we003
37	毒妖鸟猫弓阿尔法	otomo/wp/ot_we004
38	土砂龙猫链锤阿尔法	otomo/wp/ot_we005
39	泥鱼龙猫剑阿尔法	otomo/wp/ot_we006
40	飞雷龙猫叉阿尔法	otomo/wp/ot_we007
19	马格达猫傀儡阿尔法	otomo/wp/ot_we019
41	蛮颚龙猫骨槌阿尔法	otomo/wp/ot_we008
42	浮空龙猫肉球阿尔法	otomo/wp/ot_we011
43	雌火龙猫细剑阿尔法	otomo/wp/ot_we009
44	骨锤龙猫球阿尔法	otomo/wp/ot_we013
45	铃兰猫杖阿尔法	otomo/wp/ot_we030
46	风漂龙猫剑阿尔法	otomo/wp/ot_we012
47	惨爪龙猫镰锁阿尔法	otomo/wp/ot_we014
48	火龙猫剑阿尔法	otomo/wp/ot_we016
49	角龙猫大锤阿尔法	otomo/wp/ot_we017
50	神猫剑雷鸣闪阿尔法	otomo/wp/ot_we018
20	熔岩龙猫链锤阿尔法	otomo/wp/ot_we020
21	爆锤龙猫铁块阿尔法	otomo/wp/ot_we021
26	爆鳞龙猫链锤阿尔法	otomo/wp/ot_we026
51	死神猫镰刀阿尔法	otomo/wp/ot_we027
52	奇面猫石器阿尔法	otomo/wp/ot_we031
10	战纹猫大锤阿尔法	otomo/wp/ot_we010
15	乌尔德猫剑阿尔法	otomo/wp/ot_we015
22	帝王猫权杖阿尔法	otomo/wp/ot_we022
23	猫魔杖＝寒风阿尔法	otomo/wp/ot_we023
24	异国猫花束阿尔法	otomo/wp/ot_we024
25	Unavailable	otomo/wp/ot_we001
53	奇面族的石器	otomo/wp/ot_we200
54	德特尔皮克	otomo/wp/ot_we100
100	怪物的咒杖阿尓法	otomo/wp/ot_we073
101	橡子猫铲	otomo/wp/ot_we000
102	Unavailable	otomo/wp/ot_we001
55	绚辉龙猫扇阿尔法	otomo/wp/ot_we025
56	残虐猫暴锤阿尔法	otomo/wp/ot_we033
57	伊莉萨猫阳伞阿尔法	otomo/wp/ot_we034
58	洛克炮阿尔法	otomo/wp/ot_we035
59	HARDUMMY	otomo/wp/ot_we036
60	苍星猫指挥	otomo/wp/ot_we037
61	金陆行鸟手杖阿尔法	otomo/wp/ot_we038
62	武者猫的太刀阿尔法	otomo/wp/ot_we039
63	燕尾蝶猫杖	otomo/wp/ot_we040
64	阿罗哈猫乌克丽丽	otomo/wp/ot_we041
65	幽灵猫灯	otomo/wp/ot_we042
66	雪猫铃	otomo/wp/ot_we043
67	巨星猫杖	otomo/wp/ot_we044
68	燕尾蝶猫杖阿尔法	otomo/wp/ot_we040
69	阿罗哈猫乌克丽丽阿尔法	otomo/wp/ot_we041
70	幽灵猫灯阿尔法	otomo/wp/ot_we042
71	雪猫铃阿尔法	otomo/wp/ot_we043
72	巨星猫杖阿尔法	otomo/wp/ot_we044
110	精英·探索猫锥阿尔法	otomo/wp/ot_we060
111	精英·骨制猫大锤阿尔法	otomo/wp/ot_we028
112	精英·铁制猫长刀阿尔法	otomo/wp/ot_we029
113	精英·贼龙猫铳槌阿尔法	otomo/wp/ot_we002
114	精英·搔鸟猫乌德琴阿尔法	otomo/wp/ot_we003
115	精英·毒妖鸟猫弓阿尔法	otomo/wp/ot_we004
116	精英·土砂龙猫链锤阿尔法	otomo/wp/ot_we005
117	精英·泥鱼龙猫剑阿尔法	otomo/wp/ot_we006
118	精英·冰鱼龙猫雪板阿尔法	otomo/wp/ot_we051
119	精英·飞雷龙猫叉阿尔法	otomo/wp/ot_we007
120	精英·猛牛龙猫人偶阿尔法	otomo/wp/ot_we052
121	精英·蛮颚龙猫骨槌阿尔法	otomo/wp/ot_we008
122	精英·雌火龙猫细剑阿尔法	otomo/wp/ot_we009
123	精英·浮空龙猫肉球阿尔法	otomo/wp/ot_we011
124	精英·骨锤龙猫球阿尔法	otomo/wp/ot_we013
125	精英·铃兰猫杖阿尔法	otomo/wp/ot_we030
126	精英·死神猫镰刀阿尔法	otomo/wp/ot_we027
127	精英·冰牙龙猫料理刀阿尔法	otomo/wp/ot_we046
128	精英·火龙猫剑阿尔法	otomo/wp/ot_we016
129	精英·角龙猫大锤阿尔法	otomo/wp/ot_we017
130	精英·风漂龙猫剑阿尔法	otomo/wp/ot_we012
131	精英·惨爪龙猫镰锁阿尔法	otomo/wp/ot_we014
132	精英·熔岩龙猫链锤阿尔法	otomo/wp/ot_we020
133	精英·爆锤龙猫铁块阿尔法	otomo/wp/ot_we021
134	精英·迅龙猫飞镖阿尔法	otomo/wp/ot_we047
135	精英·灼炎之喵剑阿尔法	otomo/wp/ot_we048
136	精英·碎龙猫拳击阿尔法	otomo/wp/ot_we049
137	精英·轰龙猫轰锤阿尔法	otomo/wp/ot_we050
138	精英·霜漂猫剑阿尔法	otomo/wp/ot_we056
139	精英·机械猫圆盘阿尔法	otomo/wp/ot_we061
140	精英·奇面猫石器阿尔法	otomo/wp/ot_we031
141	精英·兽缠族猫骨槌阿尔法	otomo/wp/ot_we062
142	精英·雪崩猫长枪阿尔法	otomo/wp/ot_we053
143	精英·矜持猫锤阿尔法	otomo/wp/ot_we059
144	精英·死灭猫权杖阿尔法	otomo/wp/ot_we057
145	精英·触角猫杖阿尔法	otomo/wp/ot_we054
146	精英·帝王猫铠甲阿尔法	otomo/wp/ot_we022
147	精英·猫魔杖＝寒风阿尔法	otomo/wp/ot_we023
148	精英·神猫剑雷鸣闪阿尔法	otomo/wp/ot_we018
149	精英·迦楼罗猫宝珠阿尔法	otomo/wp/ot_we055
150	精英·狂纹猫爪阿尔法	otomo/wp/ot_we058
151	精英·强欲猫骨锤阿尔法	otomo/wp/ot_we069
152	精英·猫飞龙刀【绿】阿尔法	otomo/wp/ot_we072
153	精英·黑狼鸟猫羽扇阿尔法	otomo/wp/ot_we064
154	精英·王猫剑雷鸣阿尔法	otomo/wp/ot_we065
155	精英·马格达猫傀儡阿尔法	otomo/wp/ot_we019
156	精英·金色猫机械人偶阿尔法	otomo/wp/ot_we066
157	精英·齐天猫如意棒阿尔法	otomo/wp/ot_we071
158	精英·爆碎猫拳击阿尔法	otomo/wp/ot_we070
159	精英·赤龙猫封枪阿尔法	otomo/wp/ot_we067
160	橡子猫铲	otomo/wp/ot_we000
161	精英·伊莉萨猫阳伞阿尔法	otomo/wp/ot_we034
162	精英·绚辉龙猫扇阿尔法	otomo/wp/ot_we025
163	精英·洛克飞弹阿尔法	otomo/wp/ot_we035
164	精英·金陆行鸟手杖阿尔法	otomo/wp/ot_we038
165	HARDUMMY	otomo/wp/ot_we037
166	HARDUMMY	otomo/wp/ot_we036
167	精英·武者猫的太刀阿尔法	otomo/wp/ot_we039
168	精英·燕尾蝶猫杖阿尔法	otomo/wp/ot_we040
169	橡子猫铲	otomo/wp/ot_we000
170	橡子猫铲	otomo/wp/ot_we000
171	精英·雪猫铃阿尔法	otomo/wp/ot_we043
172	精英·巨星猫杖阿尔法	otomo/wp/ot_we044
173	精英·橡子猫铲阿尔法	otomo/wp/ot_we001
174	精英·爆鳞龙猫链锤阿尔法	otomo/wp/ot_we026
175	精英·残虐猫暴锤阿尔法	otomo/wp/ot_we033
176	精英·战纹猫大锤阿尔法	otomo/wp/ot_we010
177	精英·乌尔德猫剑阿尔法	otomo/wp/ot_we015
178	精英·异国猫花束阿尔法	otomo/wp/ot_we024
179	精英·公会猫书籍阿尔法	otomo/wp/ot_we063
180	精英·蔷薇猫篮阿尔法	otomo/wp/ot_we075
181	橡子猫铲	otomo/wp/ot_we000
182	橡子猫铲	otomo/wp/ot_we000
183	精英·狮子舞猫灯阿尔法	otomo/wp/ot_we078
184	精英·宇宙猫机械阿尔法	otomo/wp/ot_we079
185	橡子猫铲	otomo/wp/ot_we000
186	橡子猫铲	otomo/wp/ot_we000
187	橡子猫铲	otomo/wp/ot_we000
188	HARDUMMY	otomo/wp/ot_we080
189	HARDUMMY	otomo/wp/ot_we081
190	精英·摇曳猫珊瑚阿尔法	otomo/wp/ot_we082
191	兽缠族骨槌	otomo/wp/ot_we062
192	橡子猫铲	otomo/wp/ot_we000
193	橡子猫铲	otomo/wp/ot_we000
194	橡子猫铲	otomo/wp/ot_we000
195	精英·巨匠猫指挥棒阿尔法	otomo/wp/ot_we085
196	精英·野生猫锥阿尔法	otomo/wp/ot_we086
197	精英·怪物的咒杖阿尔法	otomo/wp/ot_we073
198	橡子猫铲	otomo/wp/ot_we000
199	橡子猫铲	otomo/wp/ot_we000
200	橡子猫铲	otomo/wp/ot_we000
