回放ID	回放名称	回放描述
EVC0001	搭船	前往新大陆的船只终于准备出航。乘船的行列中，也有第五期调查团中一名猎人的身影。
EVC0002	命运的遭遇	在前往新大陆的船上，命运般相遇的人们所遭遇的骚动会是……
EVC0003	空中俯瞰未知的大陆	猎人与接待员从巨型的头上方抓住翼龙，成功逃离，终于踏上了新大陆。
EVC0051	森林恶棍	猎人与接待员前往调查据点途中，在古代树森林里遇到了小型怪物以及贼龙。
EVC0004	留下痕迹的是……	接待员循着发现的痕迹追去，出现在眼前的人是……
EVC0005	在关卡的骚动	即将抵达调查据点时，猎人却被卷入两头怪物的争斗之中。
EVC0006	抵达星辰	经过漫长的旅途，猎人和接待员终于抵达了目的地调查据点·星辰。
EVC0052	可靠的狩猎伙伴	抵达星辰后，猎人与在翻船骚动中分散的狩猎伙伴与随从重逢。
EVC0055	注意易碎物！	猎人与调查班队长刚抵达营地设置区，看见的是灵巧使用前脚挖掘壶的搔鸟……
EVC0007	导虫指示的目标	返回星辰的途中，导虫对不明东西起了反应。在那里的是亢奋的毒妖鸟，同时发现了不曾见过的巨型痕迹……
EVC0056	好啦，前往新天地！	在森林与荒地各处发现熔山龙的痕迹。猎人开始执行任务，护卫学者们前往调查。
EVC0008	横冲直撞的家伙们	为了回收熔山龙的痕迹，护卫学者的猎人，却在任务途中遇到了土砂龙。
EVC0009	龙人族的贤者	猎人在大蚁冢荒地完成护卫学者的任务，并遇到自称是第一期团猎人的龙人族男子。
EVC0010	险恶的沼泽	为了寻找失踪的学者，猎人来到沼泽，发现学者正因某种物体加害了土砂龙而感到恐惧。
EVC0011	飞雷龙飞舞之森	感觉到火热的气息，仰望天空的猎人周围飘下大量的羽毛。对栖息在树上的灵敏牙龙种的威胁将至……！
EVC0012	森林暴徒·蛮颚龙	展开争夺地盘、蹂躏对手的蛮颚龙。为了使它落入陷阱，猎人开始尝试诱导……
EVC0013	熔山龙捕获作战	为解开古龙迁徙之谜，调查团拟定捕获古龙的作战计划。终于，在阳光照亮大峡谷之时，出现了熔山龙的身影。
EVC0014	作战结束	神秘的黑色怪物闯入。为了继续作战，猎人们全力击退闯入者。终于，捕获作战迎来了结束的一刻……
EVC0015	超越大峡谷	追逐熔山龙的猎人与接待员踏入了大峡谷的裂缝。突然出现在两人面前的世界究竟是……
EVC0060	闪光之主	成群对付猎物的猫蜥龙们发现侵入地盘的眩鸟便立即围上。然而周围瞬间被耀眼的闪光笼罩……
EVC0061	浮空的飞龙	猎人追踪着缓慢浮游在空中的可疑物体。但一下就跟丢了，环顾周围却发现……
EVC0016	前往瘴气之谷	组装了气球的研究基地乘着陆珊瑚台地的独特气流，飘上半空。然后抵达了目的地瘴气之谷。
EVC0062	相遇	结束瘴气之谷探索的接待员与猎人，回到营地遇见了第一期团的原野大师。
EVC0017	骨战车前往山谷	正在进行痕迹调查的猎人，听见巨型的地鸣声，从地底出现的巨型骨战车强袭而来……！
EVC0018	华丽的天空猎人	为了寻找熔山龙的痕迹，一行人计划用热气球降落至谷底最下层，却遭到在天空狩猎的风漂龙阻拦。
EVC0019	危机	两人在调查熔山龙的痕迹，惨爪龙却突然出现在面前。惨爪龙的目标锁定在接待员身上……
EVC0020	沉眠谷中的真实	两人顺利与原野大师重逢。根据她娓娓道来的内容，终于解开了古龙渡海的原因。
EVC0021	展翅于森之巅	为了见到古代龙人，两人来到古代树顶端。出现在那里的是愤怒的空之王者火龙。
EVC0022	沙下的狂暴	土砂龙将在大蚁冢荒地飞舞的响翼龙当成猎物，但地底却突然出现两根巨角，让状况为之一变。
EVC0023	诱导作战，开始	将熔山龙诱导至外海的作战，终于开始。
EVC0024	下次的生命之旅	调查团施行的诱导作战，最后终于让熔山龙缓缓朝着外海前进了。
EVC0025	神秘王国的女王	为了寻找留下奇妙的痕迹的怪物，两人造访了陆珊瑚台地，出现在那里的是……
EVC0034	大团长登场	终于在新大陆发现亚种。在星辰进行调查时，调查团的队长·大团长出现在眼前。
EVC0026	前往龙结晶之地	通过大团长的指引，猎人与接待员抵达有巨型结晶闪耀的地方。
EVC0063	那个大胃王	四面八方铺满巨型结晶的洞窟内，岩贼龙默默地吞食着结晶。然而接下来这股食欲找上了猎人。
EVC0027	出现黑色创伤	通过熔山龙，猎人终于和几度发生冲突的对象，吞噬古龙的古龙·灭尽龙面对面了。
EVC0028	加深的谜团	猎人终于成功调查完灭尽龙。不过那里还留存了好几个谜团……
EVC0064	火中泳动的龙	猎人在灼热熔岩沸腾的洞窟内前进，忽然感觉到不安定的气息。这时随着地鸣声一同出现的是……
EVC0065	危险的车轮	在龙结晶之地驰骋的危险车轮。带着热气的岩石冲散到四周，与猎人的距离逐渐逼近……
EVC0029	冥底的尸套龙	群聚吞吃尸肉的痹贼龙们发现猎人接近，开始威吓。然而在背后，堆积如山的尸肉开始怪异地蠢蠢欲动。
EVC0030	钢铁的钢龙	意识凝聚在地面突出的结晶群的瞬间，激烈的龙卷风将结晶卷起，然后开始袭击猎人。
EVC0031	爆炎的炎王龙	猎人在灼热熔岩滚动的洞窟内前进，遭遇了激烈业火的袭击。好不容易躲过之后等在前方的究竟是……
EVC0032	于收束之地	通过龙人族的猎人的引导，一行人抵达收束了地脉流动能量的地方。然而，在那里的却是……
EVC0033	调查结束	猎人在激斗的最后，击退不知其名的存在。虽然也试着从开始倒塌的地方脱离……
EVC0035	大团圆	经过漫长时间，调查团终于解开古龙迁徙这现象所隐藏的真正秘密。此时公会更传来了极佳的捷报。
EVC0036	前往新大陆	即使解开了古龙迁徙之谜，新大陆还很宽阔。生存在这里的猎人们将会无穷无尽地奔驰下去。
EVC0066	背负火山之龙	震动大气，动摇大地，不知该迈向何处的巨型古龙。其身影正如火山一般。
EVC0067	此乃古龙之王	贪食流转于新大陆的庞大能量后，尊为此世之王者，终于诞生。
EVC0068	此世的终末	瘴气之谷……最适合以此世的终末来形容的异样之地。从尸肉漂出的有毒瘴气会侵蚀身体。
EVC0070	贪食的恐暴龙	一行人为了调查恐暴龙而造访古代树森林，却有一场大灾难就在那里等候着接待员……
EVC0071	伫立于炎王身旁者	在打盹的炎王龙前面，灭尽龙突然现身。就在这两只对峙的古龙互相冲突的瞬间现身的是……
EVC0072	包覆金色铠甲之物	绚辉龙在阳光照耀的洞窟里蠢蠢欲动，那身影犹如一块被注入生命的巨大黄金。
EVC0074	来自艾欧泽亚的访客	猎人追着奔跑的仙人掌，发现了谜样的蓝色石头和长着绒毛的生物。同时，还出现了一头同样盯上石头的搔鸟。
EVC0075	降临新大陆的魔兽	巨大陨石从天而降，四周地带陷入了灼热爆风的包围中。猎人急忙赶往现场查探，然而迎接他的却是未知的魔兽…。
EVC0078	利维亚的杰洛特	猎魔人杰洛特出现在新大陆。调查团将变异的调查，委托在异世界中专门对付怪物的他…
EVC0079	潜藏在森林的异世界怪物	终于查出古代树森林中变异扩散的原因。能自在地操控地盘内野兽的异世界怪物，其名为鹿首精。
EVC0080	从异界之传送门中出现的怪物	来到古代树森林的是栖息在异世界森林的古代鹿首精。让贼龙群轻易臣服的样子，简直像是森林的支配者。
EVC0081	变异的结尾	击退鹿首精并托付了[猎人的符文石]，杰洛特离开了星辰。古代树森林中还残存着些许变异…
EVC0082	变异的结局～族长的致谢～	帮助了被诅咒的族长，顺利免于担任族长位置的杰洛特，体验了奇面族独特的感谢之舞…
EVC0083	变异的结局～娇小的朋友～	击退鹿首精后，杰洛特离开了星辰。一只他所帮助的德特尔，乘着毒妖鸟现身致谢。
EVC0084	变异的结局～委托完成～	帮助了奇面族与毒妖鸟，并解决了所有变异的杰洛特，通过鹿首精留下的传送门，离开了新大陆。
EVC1000	前兆	接到古代树森林有风漂龙出没的报告后，接待员与猎人决定一同前往调查。沿着痕迹一路尾随，最后看到的是……
EVC1001	前往崭新的大地	猎人们朝风漂龙飞去的方向前进。究竟海的另一边是怎样的世界呢？
EVC1040	银白世界	猎人和接待员顺利降落新的调查地点，映入眼帘的是一整片银白色的雪景。
EVC1002	深雪之影	猎人与接待员为寻找热气球降落地点，展开了探索之旅。在抵达一处宽广的区域后，却发现了未曾见过的痕迹。
EVC1003	前线据点月辰	调查团降落在猎人们发现的新大陆。就在大家正忙着设置新据点的同时，总司令现身了。
EVC1004	永霜冻土	被霜雪覆盖、永久冰封的冻土大地。前方等待着猎人的是……
EVC1005	猛牛龙的强袭	为了确保运输队的安全，猎人前往永霜冻土进行探索。发现前方道路都被砍倒的树木挡住了。
EVC1006	充满活力干劲的月辰	随着运输队的到来，月辰变得更加热闹了。归来的猎人们也和调查班队长打了招呼。
EVC1007	暗中逼近的脚步声	在迁徙之地进行调查的原野大师与猎人们的背后，痹毒龙正紧跟着锁定目标，静静地朝猎物逼近。
EVC1008	时光静止的船舶	在探险的旅途中，猎人们发现了古老的船只。这艘船究竟是为了什么，又是何时来到了此地呢？
EVC1009	催眠飞龙	猎人为调查亚种而来到大蚁冢荒地，却无端出现强烈的睡意。在意识蒙眬中看到的是……
EVC1010	嗜水之妖	猫蜥龙包围住入侵领地范围的水妖鸟并进行威吓。但入侵者却丝毫不为所动，继续为所欲为……
EVC1011	冰冻暴雪之谜	为了搜索原野大师和接待员，猎人前往了永霜冻土。却在暴风雪中发现了冰冻的翼龙。
EVC1012	冰之龙	接待员们顺利与猎人再次见面。才刚确认调查结果没多久，就传来一阵歌声，随之而来的是漫天狂舞的风雪……
EVC1013	迅影	猎人们前往古代树森林进行调查，却遭受迅龙袭击，并遇上突然闯入的火龙。这场争斗究竟鹿死谁手……
EVC1014	身经百战之刃	雌火龙回到了巢穴疗伤。猎人查看状况的同时，更强大的威胁也正默默逼近其身后。
EVC1015	生命的顽强抵抗	猎人与接待员回到了星辰。两人在那看到的是冰冻的蛮颚龙。
EVC1016	回荡山谷的轰响	骨锤龙使出敏捷的旋转与突进，对贪嗜猎物的轰龙展开袭击。然而，两者之间的实力之差却是一目了然。
EVC1017	逼近的黏菌威胁	猎人留意到龙结晶之地的地面一片焦黑。前方出现的爆锤龙全身都附着黏菌……
EVC1018	月之石	接待员凝视着月之石。从祖父手中收下的这颗石头，将对她传达怎样的讯息呢？
EVC1019	绝对零度的吐息	全身围绕寒气的冰呪龙。它的气息使大地冰封，振翅将把世界变成一片银白。
EVC1020	刺骨寒气的拥抱	冰呪龙受到猎人攻击后应声倒下。当猎人接近，冰呪龙的周围开始被冻雾包围…
EVC1021	追寻	猎人与接待员追踪着冰呪龙，进而来到永霜冻土进行探索。另一方面，至今仍行踪不明的原野大师的安危也……
EVC1022	被托付的希望	原野大师在猎人的救援下平安获救。她看着接待员，想起了自己的过去而泛起笑容。
EVC1025	强酸之刃	一群痹贼龙包围着硫斩龙准备展开攻击。最后却被硫斩龙的猛刃打得落花流水。
EVC1026	捕食者的地盘争夺	为寻找猎物而徘徊在陆珊瑚台地的惨爪龙。正朝猎人们怒目吐气。此时背后传来了咆啸，其他杀气腾腾的身影也同时逼近。
EVC1027	月辰防卫战	一定要在击龙杭炮做好发射准备前挡住冰呪龙的猛攻！月辰防卫战的结果究竟如何……？
EVC1028	追击的烽火	猎人们成功击退了冰呪龙。正当大伙松了一口气时，调查班队长宣布了接下来该完成的事。
EVC1029	追击的结果	追寻冰呪龙行踪的猎人踏进了永霜冻土。双方再次相遇，命运对决的结果究竟会是怎样……？
EVC1030	持续变异的大地	两人讨伐了冰呪龙并且解开了月之石的谜团。但在短暂欣喜过后，龙人族的猎人却带来了令人不安的消息。
EVC1031	灾祸的新痕迹	猎人在龙结晶之地发现了灭尽龙的痕迹。就在打算开始调查之时，从天落下了熊熊燃烧的爆炸物……
EVC1032	雾瘴尸套龙	四处飘散瘴气，散发异样气氛的古代树森林。尸套龙一边前进，一边喷出瘴气影响周围的一切。
EVC1033	溟海之光	当猎人看到闪烁虹光的双翼的瞬间，被卷入到了神秘的水流之中。苏醒时却看到了……
EVC1034	朝远方不断前行	坐上热气球前往调查「伟大的存在」精锐队员中，却不见强烈渴望解开真相的原野大师身影……
EVC1035	伟大的存在	猎人于决战之地击退了灭尽龙。此时却响起一阵歌声，「伟大的存在」也随之现身。
EVC1036	大自然的力量	在与天地煌啼龙的死斗中胜出后，调查团的伙伴们也前来聚集。面对大自然的力量，他们看到的是……
EVC1037	月亮与希望之苍蓝星	自从风漂龙开始的一连串调查行动，就在揭开「伟大的存在」神秘面纱后落幕了。怀着永无止境的求知心，猎人们谈天说地。
EVC1038	永无止境的探求	一夜团聚过后，调查团又动身前往下一个调查据点。
EVC1041	前往聚魔之地	猎人们追踪着灭尽龙，然而意外映入眼帘的，是充满生物多样性的生命摇篮。
EVC1042	挤身于三强之间	猎人探索聚魔之地时发现了大量飞舞的成群雷光虫。就在火龙现身眼前之时，更强大的威胁袭来。
EVC1043	绝不退让的地盘之争！	为争夺地盘而怒气冲冲的黑狼鸟，面对的是正好饥肠辘辘的恐暴龙。被卷入其中的猎人究竟会……
EVC1044	步步进逼的强者威胁	大团长在探索聚魔之地途中，站在导虫有所反应的巨大岩壁前深思着。就在这时，新的威胁又从背后悄然而至…!
EVC1045	残酷可怕的狮子	发现了熔岩地带的猎人们，遇到了正进入警戒状态的麒麟。究竟是什么让它聚精会神紧盯远方…?
EVC1046	全新的冻土	猎人们在聚魔之地发现了新地带，同时也找到了遗留在冻土大地上的全新痕迹…。
EVC1047	异变的源头	在大团长和龙人族的猎人的引导下，猎人们试着找出异变的原因。从现有的状况来看，很可能是…。
EVC1048	完全体	盘踞幽谷与人对峙的祸害，锐利的眼神睥睨一切渺小的生命。
EVC1052	冥赤龙再临	灾厄再次降临幽谷，这块土地的天命，就交给苍蓝星了。
EVC1050	大地化身的显现	「伟大的存在」就在地脉之流的终点咆啸着。浑身披满巨岩，只要一动就能摇撼大地，宛如大地的化身。
